Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_GB,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1027975,2014/11/6,2013/11/22 15:59,622770121,1.258E+11,0,202,81.36,83313,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1027975/SRR1027975.1,SRX373539,UP_sludgeB6_b2_H2000_RNA,WGS,RANDOM,METATRANSCRIPTOMIC,PAIRED,200,30,ILLUMINA,Illumina HiSeq 2000,SRP032652,PRJNA226633,,226633,SRS498896,SAMN02393385,simple,942017,activated sludge metagenome,Sludge5_b2_February_RNA,,,,,,,no,,,,,SCELSE NTU,SRA110274,,public,D414FAF15DAAF80A66CB98C5AF15D7FD,908A67AB6C9CD0F59AF600B1D102FB7E
SRR1027976,2014/11/6,2013/11/22 5:13,479618071,96882850342,0,202,63.38,64905,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1027976/SRR1027976.1,SRX373540,UP_sludgeB8_b2_H2000_RNA,WGS,RANDOM,METATRANSCRIPTOMIC,PAIRED,190,30,ILLUMINA,Illumina HiSeq 2000,SRP032652,PRJNA226633,,226633,SRS498897,SAMN02393386,simple,942017,activated sludge metagenome,Sludge7_b2_February_RNA,,,,,,,no,,,,,SCELSE NTU,SRA110274,,public,E7DB39713127DC55F86B32F536DF94FA,498782170E7F4F2E40B25ECBD83B1E98
SRR1027977,2014/11/6,2013/11/22 14:14,447597200,90414634400,0,202,58.88,60293,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1027977/SRR1027977.1,SRX373541,UP_sludgeC10_b2_H2000_RNA,WGS,RANDOM,METATRANSCRIPTOMIC,PAIRED,208,30,ILLUMINA,Illumina HiSeq 2000,SRP032652,PRJNA226633,,226633,SRS498898,SAMN02393387,simple,942017,activated sludge metagenome,Sludge9_b2_February_RNA,,,,,,,no,,,,,SCELSE NTU,SRA110274,,public,B8D89FD82962856DBEE8C02BB2B0939E,03CD54FCF951658550D2D77ED19DF494
SRR1027978,2014/11/6,2013/11/22 14:24,448522664,90601578128,0,202,59.20,60619,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1027978/SRR1027978.1,SRX373542,UP_sludgeC12_b2_H2000_RNA,WGS,RANDOM,METATRANSCRIPTOMIC,PAIRED,206,30,ILLUMINA,Illumina HiSeq 2000,SRP032652,PRJNA226633,,226633,SRS498899,SAMN02393388,simple,942017,activated sludge metagenome,Sludge11_b2_February_RNA,,,,,,,no,,,,,SCELSE NTU,SRA110274,,public,69EC3D00CA3901CB854FA2240D5453FE,C05F14CE2B1BF642E13812623F9EE0E6
SRR10402494,2019/11/7 17:16,2019/11/6 17:14,91581986,27657759772,91581986,302,10.56,10814,,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/010158/SRR10402494,SRX7101833,CTASZ,RNA-Seq,RT-PCR,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228626,PRJNA571457,,571457,SRS5613901,SAMN12815046,simple,942017,activated sludge metagenome,Gp0311879,,,,,,,no,,,,,JGI,SRA991625,,public,DF14F1710FE923723F4F2C970BDF481F,8E959F18F6C981DB5B9D98B59CE505C9
SRR10502071,2019/11/21 17:30,2019/11/20 20:17,36607749,11055540198,36607749,302,4.44,4548,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/010255/SRR10502071,SRX7191096,ATUAC,RNA-Seq,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP230759,PRJNA365458,,365458,SRS5697103,SAMN06266361,simple,942017,activated sludge metagenome,Gp0123870,,,,,,,no,,,,,JGI,SRA999469,,public,7E8752A6603546F60E15B6315DAD8279,7806DB2F07A53F76E05BFD329EA2FAA2
SRR10502072,2019/11/21 17:30,2019/11/20 19:42,37150428,11219429256,37150428,302,4.75,4861,,https://sra-download.ncbi.nlm.nih.gov/traces/sra33/SRR/010255/SRR10502072,SRX7191097,ATUAB,RNA-Seq,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP230760,PRJNA365457,,365457,SRS5697104,SAMN06264723,simple,942017,activated sludge metagenome,Gp0123869,,,,,,,no,,,,,JGI,SRA999476,,public,4EF797583B4875A34037A565A7DDD0EC,771DD220BCC9411E03448FE331534F73
SRR10522288,2019/11/25 17:46,2019/11/24 19:10,68545190,6854519000,0,100,2.27,2321,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/010275/SRR10522288,SRX7207054,FCHCF5JBBXX-WHENVfbwEAAARAAPEI_4,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP232849,PRJNA431396,,431396,SRS5711516,SAMN13324181,simple,942017,activated sludge metagenome,F_RNA3_L2,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA997979,,public,985B6F6A4F11E78E2F4E394E2843873E,A26B525A8A7D85800B8417AC555F1FAD
SRR10522289,2019/11/26 8:33,2019/11/25 20:52,36875871,7235437600,35478505,196,3.00,3076,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/010275/SRR10522289,SRX7207053,FCHCF5JBBXX-WHENVfbwEAAARAAPEI_3,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP232849,PRJNA431396,,431396,SRS5711515,SAMN13324180,simple,942017,activated sludge metagenome,F_RNA2_L3,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA997979,,public,8F6F0BA43D5EE3F2FA3E30EFD7838F3F,96AC42EFC4B6AFC80A98DBF07C355E4D
SRR10522290,2019/11/25 17:46,2019/11/24 19:02,32434744,6363417900,31199435,196,2.10,2155,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/010275/SRR10522290,SRX7207052,FCHCF5JBBXX-WHENVfbwEAAARAAPEI_2,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP232849,PRJNA431396,,431396,SRS5711514,SAMN13324179,simple,942017,activated sludge metagenome,F_RNA2_L2,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA997979,,public,20438CF73D3D9D8E9E53DDFE1935A8A0,225280967259FB26785ECF4086CE42CD
SRR10522291,2019/11/25 17:46,2019/11/24 19:10,48980903,9686401400,47883111,197,3.20,3275,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/010275/SRR10522291,SRX7207051,FCHCF5JBBXX-WHENVfbwEAAARAAPEI_1,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP232849,PRJNA431396,,431396,SRS5711513,SAMN13324178,simple,942017,activated sludge metagenome,F_RNA1,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA997979,,public,9E785D7C68A2FDE91010EFC8286AAB24,A8C3D92434DD4F0652941653619EC547
SRR10522296,2019/11/25 17:46,2019/11/24 19:03,37232973,7285308300,35620110,195,2.42,2481,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/010275/SRR10522296,SRX7207046,FCHCF5JBBXX-WHENVfbwEAAARAAPEI_11,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP232849,PRJNA431396,,431396,SRS5711509,SAMN13324188,simple,942017,activated sludge metagenome,NF_RNA6_L3,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA997979,,public,EA536A50BB3768E6A83605CE02E15061,35E1F6CB4A0BC5815A3920E815425A01
SRR10522297,2019/11/26 8:33,2019/11/25 17:35,32792618,6415432800,31361710,195,2.67,2732,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/010275/SRR10522297,SRX7207045,FCHCF5JBBXX-WHENVfbwEAAARAAPEI_10,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP232849,PRJNA431396,,431396,SRS5711507,SAMN13324187,simple,942017,activated sludge metagenome,NF_RNA6_L2,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA997979,,public,E3092377F1D6BC172178BE9CBA552E0C,928D740B876762694E1805615FAAA000
SRR10522298,2019/11/25 17:46,2019/11/24 19:06,40094886,7916579300,39070907,197,2.61,2677,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/010275/SRR10522298,SRX7207044,FCHCF5JBBXX-WHENVfbwEAAARAAPEI_9,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP232849,PRJNA431396,,431396,SRS5711506,SAMN13324186,simple,942017,activated sludge metagenome,NF_RNA5_L3,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA997979,,public,A2429F3C44C274F3329BE0B72CC890DF,9B462D34A4F648F3B85DF166D2899AFD
SRR10522299,2019/11/25 17:46,2019/11/24 19:03,35303099,6969421600,34391117,197,2.30,2354,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/010275/SRR10522299,SRX7207043,FCHCF5JBBXX-WHENVfbwEAAARAAPEI_8,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP232849,PRJNA431396,,431396,SRS5711505,SAMN13324185,simple,942017,activated sludge metagenome,NF_RNA5_L2,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA997979,,public,8692DAE6657B3110FAB056D300801040,A526E20E54D76A688AFF1771DEF6E5AD
SRR10522300,2019/11/26 8:33,2019/11/25 22:16,43500137,8597335600,42473219,197,3.56,3647,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/010275/SRR10522300,SRX7207042,FCHCF5JBBXX-WHENVfbwEAAARAAPEI_7,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP232849,PRJNA431396,,431396,SRS5711504,SAMN13324184,simple,942017,activated sludge metagenome,NF_RNA4_L3,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA997979,,public,B09910B3380B50F7242BADAC0EF7C120,9E05D803D9B29A302CB928C011795C96
SRR10522301,2019/11/26 8:33,2019/11/25 20:57,37338195,7467638900,37338194,199,3.09,3160,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/010275/SRR10522301,SRX7207041,FCHCF5JBBXX-WHENVfbwEAAARAAPEI_6,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP232849,PRJNA431396,,431396,SRS5711503,SAMN13324183,simple,942017,activated sludge metagenome,NF_RNA4_L2,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA997979,,public,A7819783015AB85CE5F698C0DF835AD7,AB40509D66566B44DFFF4D53198EACB2
SRR10522302,2019/11/26 8:33,2019/11/25 22:02,42050000,8253690200,40486902,196,3.42,3500,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/010275/SRR10522302,SRX7207040,FCHCF5JBBXX-WHENVfbwEAAARAAPEI_5,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP232849,PRJNA431396,,431396,SRS5711502,SAMN13324182,simple,942017,activated sludge metagenome,F_RNA3_L3,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA997979,,public,202AD7FB4238B3B26554E1039EB6660C,D341CBDD6267755327D9F88E5BD8549D
SRR10914227,2020/1/19 4:06,2020/1/19 4:03,7666666,1379999880,7666666,180,0.80,815,,https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/010658/SRR10914227,SRX7581645,StanleyWWTP--Sludge-RNA,WGS,PCR,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP242717,PRJNA602123,,602123,SRS6015319,SAMN13881863,simple,942017,activated sludge metagenome,Activity sludge RNA from Stanley WWTP,,,,,,,no,,,,,PEKING UNIVERSITY SHENZHEN GRADUATE SCHOOL,SRA1028328,,public,C02FEE4D19140C131A7FD322A19AAA8B,C50E59E405A2E75806FF4B6AAFAC21B4
SRR10914230,2020/1/19 4:34,2020/1/19 4:30,38420870,11526261000,38420870,300,4.24,4342,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/010658/SRR10914230,SRX7581661,metatran_M1,RNA-Seq,RANDOM,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP242718,PRJNA601861,,601861,SRS6015321,SAMN13875377,simple,942017,activated sludge metagenome,Partial denitrification and anammox,,,,,,,no,,,,,NANJING UNIVERSITY,SRA1028326,,public,1B46F7BF7E0CC881448190915D79C165,E0C69BE327B5DF4C1914CBDBAC097CE5
SRR10914231,2020/1/19 4:38,2020/1/19 4:34,44638147,13391444100,44638147,300,4.94,5062,,https://sra-download.ncbi.nlm.nih.gov/traces/sra43/SRR/010658/SRR10914231,SRX7581660,metatran_H3,RNA-Seq,RANDOM,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP242718,PRJNA601861,,601861,SRS6015321,SAMN13875377,simple,942017,activated sludge metagenome,Partial denitrification and anammox,,,,,,,no,,,,,NANJING UNIVERSITY,SRA1028326,,public,F2C26D7C37E4D98EDDA0A24A34E11FDD,049BDFCAC7A6428F3165817AC3352DE3
SRR10914232,2020/1/19 4:29,2020/1/19 4:25,40441792,12132537600,40441792,300,4.45,4558,,https://sra-download.ncbi.nlm.nih.gov/traces/sra41/SRR/010658/SRR10914232,SRX7581659,metatran_H2,RNA-Seq,RANDOM,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP242718,PRJNA601861,,601861,SRS6015321,SAMN13875377,simple,942017,activated sludge metagenome,Partial denitrification and anammox,,,,,,,no,,,,,NANJING UNIVERSITY,SRA1028326,,public,99C45CA1C434EC95F84ECC4D51EE1E59,FCB64554038A1DBDF4FFFF5D7F3B8B4D
SRR10914233,2020/1/19 4:27,2020/1/19 4:21,39465051,11839515300,39465051,300,4.39,4495,,https://sra-download.ncbi.nlm.nih.gov/traces/sra48/SRR/010658/SRR10914233,SRX7581658,metatran_H1,RNA-Seq,RANDOM,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP242718,PRJNA601861,,601861,SRS6015321,SAMN13875377,simple,942017,activated sludge metagenome,Partial denitrification and anammox,,,,,,,no,,,,,NANJING UNIVERSITY,SRA1028326,,public,81C84145CE72A77583DF888D6A52A595,6E64A21BBBF69F1D951D5C2B73AA544E
SRR10914238,2020/1/19 4:27,2020/1/19 4:23,41064429,12319328700,41064429,300,4.58,4690,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/010658/SRR10914238,SRX7581653,metatran_L3,RNA-Seq,RANDOM,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP242718,PRJNA601861,,601861,SRS6015321,SAMN13875377,simple,942017,activated sludge metagenome,Partial denitrification and anammox,,,,,,,no,,,,,NANJING UNIVERSITY,SRA1028326,,public,26E00EDEB8675A0672FE65C1926C4B0C,AA20A5FA652BFA397DC1813C168DFE02
SRR10914239,2020/1/19 4:29,2020/1/19 4:24,41141437,12342431100,41141437,300,4.55,4659,,https://sra-download.ncbi.nlm.nih.gov/traces/sra45/SRR/010658/SRR10914239,SRX7581652,metatran_L2,RNA-Seq,RANDOM,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP242718,PRJNA601861,,601861,SRS6015321,SAMN13875377,simple,942017,activated sludge metagenome,Partial denitrification and anammox,,,,,,,no,,,,,NANJING UNIVERSITY,SRA1028326,,public,D7921420E119FA9B6D8314FB62136664,D42D8ACB34A79253FC47A10AB6BFCE3A
SRR10914240,2020/1/19 4:24,2020/1/19 4:21,43175775,12952732500,43175775,300,4.78,4899,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/010658/SRR10914240,SRX7581651,metatran_L1,RNA-Seq,RANDOM,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP242718,PRJNA601861,,601861,SRS6015321,SAMN13875377,simple,942017,activated sludge metagenome,Partial denitrification and anammox,,,,,,,no,,,,,NANJING UNIVERSITY,SRA1028326,,public,5401751E6DE5126DBC9BDADF354B4776,D4543486D10F0AF4A881DD1E999075FD
SRR10914241,2020/1/19 4:24,2020/1/19 4:21,36513034,10953910200,36513034,300,4.04,4132,,https://sra-download.ncbi.nlm.nih.gov/traces/sra12/SRR/010658/SRR10914241,SRX7581650,metatran_M3,RNA-Seq,RANDOM,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP242718,PRJNA601861,,601861,SRS6015321,SAMN13875377,simple,942017,activated sludge metagenome,Partial denitrification and anammox,,,,,,,no,,,,,NANJING UNIVERSITY,SRA1028326,,public,155686627EA47941BE258DF0775063ED,E6E32726E4CBA8D5D3E20C322AA6EE9B
SRR10914242,2020/1/19 4:25,2020/1/19 4:22,36441380,10932414000,36441380,300,4.10,4196,,https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/010658/SRR10914242,SRX7581649,metatran_M2,RNA-Seq,RANDOM,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP242718,PRJNA601861,,601861,SRS6015321,SAMN13875377,simple,942017,activated sludge metagenome,Partial denitrification and anammox,,,,,,,no,,,,,NANJING UNIVERSITY,SRA1028326,,public,AA895865A8B36687FBFFD537EB36C05D,F1BA86A168BCD19522D02B4F92E18A45
SRR1763386,2016/1/12,2015/2/3 12:27,29039526,5807905200,29039526,200,3.62,3704,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1763386/SRR1763386.1,SRX838047,,RNA-Seq,size fractionation,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP052007,PRJNA268704,2,268704,SRS753936,SAMN03220275,simple,942017,activated sludge metagenome,GCZ12,,,,,,,no,,,,,UASWS,SRA229857,,public,C1A023D566D30FF328522BE56EF219B3,5C948FBF05650D6C71BCDCCA5F8C3C75
SRR1763387,2016/1/12,2015/2/3 12:28,27741335,5548267000,27741335,200,3.44,3524,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1763387/SRR1763387.1,SRX838048,,RNA-Seq,size fractionation,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP052008,PRJNA268709,2,268709,SRS813396,SAMN03220277,simple,942017,activated sludge metagenome,GCZ13,,,,,,,no,,,,,UASWS,SRA229859,,public,5C5CDDF6DB79E84145622BB9DD715866,8CD4269B90C9A83D2ED2A99190ADF87F
SRR1763388,2016/1/12,2015/2/3 12:21,20883263,4176652600,20883263,200,2.58,2647,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1763388/SRR1763388.1,SRX838049,,RNA-Seq,size fractionation,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP052009,PRJNA268710,2,268710,SRS815091,SAMN03220280,simple,942017,activated sludge metagenome,GCZ14,,,,,,,no,,,,,UASWS,SRA229861,,public,C51D42517C00313268EF36DB63C73E27,87D4F80F38A156DB747024DF24A931FA
SRR1763389,2016/1/12,2015/2/3 12:20,30083619,6016723800,30083619,200,3.74,3833,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1763389/SRR1763389.1,SRX838050,,RNA-Seq,size fractionation,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP052010,PRJNA268712,2,268712,SRS815092,SAMN03220283,simple,942017,activated sludge metagenome,GCZ15,,,,,,,no,,,,,UASWS,SRA229864,,public,CA2BB3B663F3B455AB022FACE1F9DCA6,EA3C5ECC41EF7CA29039C67BB68E5D71
